token count
from: 22604
harry: 79
mamaysky: 14
subject: 12253
heil: 6
hernlem: 53
: 1230855
in: 49239
reply: 2459
to: 74976
message: 1043
of: 68994
wed: 133
apr: 816
gmt: 532
organization: 11188
dept: 646
computer: 2110
science: 1380
brown: 167
university: 5554
lines: 11826
article: 7429
brad: 194
writes: 7832
lebanese: 165
resistance: 145
forces: 192
detonated: 5
a: 61072
bomb: 106
under: 1542
an: 10011
israeli: 682
occupation: 92
patrol: 24
territory: 102
two: 3002
days: 737
ago: 793
three: 1002
soldiers: 262
were: 5933
killed: 527
and: 57524
wounded: 67
retaliation: 23
backed: 58
civilians: 164
by: 11130
bombarding: 6
several: 966
villages: 172
ironically: 15
the: 146355
government: 1758
justifies: 17
its: 6192
lebanon: 155
claiming: 125
that: 37747
it: 29564
is: 43313
necessary: 412
prevent: 261
such: 2786
bombardments: 3
congratulations: 12
brave: 39
men: 620
with: 17307
every: 1376
son: 336
you: 24617
place: 977
grave: 53
are: 18596
underlining: 8
moral: 429
bankruptcy: 7
israels: 106
drawing: 158
attention: 189
governments: 212
policy: 447
reckless: 17
disregard: 49
for: 28556
civilian: 109
life: 1179
very: 3225
nice: 566
people: 5841
murdered: 84
bradly: 2
overjoyed: 2
when: 5680
i: 41648
hear: 488
about: 8330
deaths: 132
middle: 278
east: 330
be: 19207
jewish: 594
or: 14360
arab: 328
feel: 679
sadness: 3
only: 5023
hope: 738
soon: 439
this: 20066
all: 9264
stops: 69
apparently: 308
my: 9616
view: 553
point: 1853
not: 18417
acceptable: 141
like: 5837
disgust: 11
me: 6698
todd: 86
j: 747
dicker: 5
re: 8285
expansion: 204
ii: 425
cybernet: 7
bbs: 370
boca: 14
raton: 9
florida: 164
andi: 40
beyer: 43
first: 2951
never: 1804
said: 2449
holocaust: 117
before: 1839
im: 3732
ignorant: 100
know: 5119
more: 5869
nazi: 223
germany: 383
than: 4701
most: 2855
maybe: 1008
including: 680
uh: 67
oh: 671
sign: 199
argument: 571
without: 1670
merit: 34
stating: 62
ones: 622
qualifications: 24
area: 673
if: 13530
something: 2235
show: 735
dont: 5810
shut: 125
up: 5278
simple: 539
